HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
184,Lafayette,IN,"22,354 ","9,251 ","9,790 ","4,287 ","4,727 ","2,338 ","2,387 ","1,650 ","1,679 ",302 ,308 ,439 ,464 ,234 ,221 
185,Muncie,IN,"20,795 ","9,414 ","9,672 ","4,447 ","4,586 ","2,281 ","2,289 ","1,723 ","1,802 ",377 ,389 ,328 ,366 ,263 ,241 
186,Munster,IN,"33,830 ","11,711 ","12,232 ","5,537 ","5,896 ","3,032 ","3,163 ","1,987 ","2,007 ",783 ,786 ,189 ,179 ,177 ,196 
187,South Bend,IN,"65,508 ","8,482 ","8,997 ","3,580 ","4,001 ","2,519 ","2,520 ","1,455 ","1,523 ",277 ,289 ,452 ,479 ,189 ,173 
188,Terre Haute,IN,"22,436 ","10,126 ","10,576 ","4,533 ","4,851 ","2,274 ","2,318 ","2,219 ","2,292 ",438 ,452 ,404 ,425 ,266 ,246 
190,Cedar Rapids,IA,"31,517 ","8,135 ","8,696 ","3,432 ","3,763 ","2,089 ","2,176 ","1,923 ","2,047 ",235 ,251 ,278 ,297 ,186 ,169 
191,Davenport,IA,"62,610 ","8,705 ","9,155 ","3,744 ","4,062 ","2,312 ","2,381 ","1,791 ","1,838 ",399 ,406 ,265 ,285 ,197 ,185 
192,Des Moines,IA,"130,845 ","7,760 ","8,153 ","3,316 ","3,499 ","2,052 ","2,132 ","1,743 ","1,859 ",201 ,212 ,262 ,280 ,197 ,182 
193,Dubuque,IA,"14,326 ","7,792 ","8,288 ","3,430 ","3,752 ","2,108 ","2,174 ","1,656 ","1,745 ",202 ,213 ,214 ,239 ,173 ,158 
194,Iowa City,IA,"40,235 ","8,127 ","8,364 ","3,737 ","3,763 ","1,713 ","1,810 ","2,012 ","2,104 ",166 ,176 ,306 ,329 ,207 ,192 
195,Mason City,IA,"24,099 ","8,221 ","8,553 ","3,617 ","3,655 ","1,500 ","1,589 ","2,655 ","2,869 ",130 ,141 ,171 ,175 ,221 ,203 
196,Sioux City,IA,"31,141 ","8,170 ","8,741 ","3,443 ","3,811 ","2,014 ","2,057 ","2,085 ","2,223 ",205 ,218 ,242 ,267 ,211 ,195 
197,Waterloo,IA,"28,957 ","8,968 ","9,565 ","3,574 ","3,869 ","2,147 ","2,250 ","2,569 ","2,740 ",203 ,218 ,300 ,328 ,194 ,179 
